,avg_wait,avg_duration,avg_speed,vehicles,inserted,ended,teleports,sim_time,controller,scenario,seed
0,12.395097332372027,73.27974044700792,5.171287165392695,1387.0,1387.0,1387.0,0.0,14328.0,actuated,low,2
1,10.10310021629416,68.732516222062,5.4276456354106,1387.0,1387.0,1387.0,0.0,14312.0,gap_actuated,low,4
2,23.705263157894738,88.91891891891892,4.396850970996973,7030.0,7030.0,7030.0,0.0,14550.0,actuated,very_high,2
3,34.17205081669692,95.55208711433757,4.260815945117415,2755.0,2755.0,2755.0,0.0,14462.0,static,medium,6
4,14.372717508055853,76.76297887576084,4.962362891982641,5586.0,5586.0,5586.0,0.0,14547.0,actuated,high,6
5,15.54672395273899,77.25617615467239,4.997705782657684,5586.0,5586.0,5586.0,0.0,14507.0,gap_actuated,high,8
6,11.957894736842105,72.59673321234119,5.20322123029526,2755.0,2755.0,2755.0,0.0,14423.0,actuated,medium,2
7,22.798435277382644,88.02859174964438,4.41813716120348,7030.0,7030.0,7030.0,0.0,14523.0,actuated,very_high,0
8,23.112517780938834,88.28392603129446,4.393434445679446,7030.0,7030.0,7030.0,0.0,14545.0,actuated,very_high,6
9,11.107803992740472,69.7825771324864,5.387067457955291,2755.0,2755.0,2755.0,0.0,14414.0,gap_actuated,medium,3
10,12.277577505407354,72.69430425378515,5.233409248967261,1387.0,1387.0,1387.0,0.0,14316.0,actuated,low,1
11,12.088680605623647,72.27253064167267,5.246576827862507,1387.0,1387.0,1387.0,0.0,14331.0,actuated,low,9
12,10.79379956741168,69.66330209084354,5.335430885295973,1387.0,1387.0,1387.0,0.0,14315.0,gap_actuated,low,7
13,34.271506352087115,95.6442831215971,4.258653074093753,2755.0,2755.0,2755.0,0.0,14464.0,static,medium,5
14,15.713211600429645,77.23612602935911,4.99832877747642,5586.0,5586.0,5586.0,0.0,14519.0,gap_actuated,high,6
15,45.681365576102415,113.6732574679943,3.567759226791647,7030.0,7030.0,7030.0,0.0,15723.0,static,very_high,4
16,33.404470079307856,94.25378514780101,4.322041370101222,1387.0,1387.0,1387.0,0.0,14375.0,static,low,7
17,12.26388384754991,72.82286751361161,5.213643292030724,2755.0,2755.0,2755.0,0.0,14432.0,actuated,medium,5
18,23.196443812233287,88.15817923186344,4.359181974812976,7030.0,7030.0,7030.0,0.0,14615.0,gap_actuated,very_high,4
19,46.034139402560456,114.22076813655761,3.550720157437257,7030.0,7030.0,7030.0,0.0,15722.0,static,very_high,8
20,11.120145190562614,69.81705989110708,5.405776138301446,2755.0,2755.0,2755.0,0.0,14423.0,gap_actuated,medium,7
21,15.761546723952739,77.43465807375581,4.995742930052183,5586.0,5586.0,5586.0,0.0,14525.0,gap_actuated,high,9
22,33.41023792357606,94.20331651045421,4.32050155991508,1387.0,1387.0,1387.0,0.0,14372.0,static,low,8
23,11.114337568058076,70.79165154264973,5.358360422722137,2755.0,2755.0,2755.0,0.0,14429.0,actuated,medium,8
24,22.35931721194879,87.34452347083926,4.437270146196282,7030.0,7030.0,7030.0,0.0,14536.0,actuated,very_high,3
25,34.04174228675136,95.37023593466425,4.269767744300891,2755.0,2755.0,2755.0,0.0,14463.0,static,medium,8
26,11.676950998185118,71.92232304900182,5.274942233938706,2755.0,2755.0,2755.0,0.0,14429.0,actuated,medium,4
27,14.741675617615467,77.09774436090225,4.944808443067666,5586.0,5586.0,5586.0,0.0,14526.0,actuated,high,4
28,33.74909877433309,94.48882480173036,4.3066474219694655,1387.0,1387.0,1387.0,0.0,14373.0,static,low,4
29,14.696025778732546,77.21786609380594,4.939093568294064,5586.0,5586.0,5586.0,0.0,14531.0,actuated,high,9
30,34.307078039927404,95.57858439201452,4.258010237371464,2755.0,2755.0,2755.0,0.0,14466.0,static,medium,3
31,34.06993511175198,94.80100937274693,4.299835510096987,1387.0,1387.0,1387.0,0.0,14372.0,static,low,3
32,11.828675136116152,71.97676950998185,5.295852637305098,2755.0,2755.0,2755.0,0.0,14432.0,actuated,medium,6
33,33.67700072098053,94.72530641672675,4.2980638365778905,1387.0,1387.0,1387.0,0.0,14375.0,static,low,0
34,10.658439201451905,69.28021778584392,5.421761596990949,2755.0,2755.0,2755.0,0.0,14411.0,gap_actuated,medium,9
35,23.833854907539116,89.11650071123755,4.306678654953885,7030.0,7030.0,7030.0,0.0,14657.0,gap_actuated,very_high,9
36,12.299927901946647,72.82191780821918,5.211851915644337,1387.0,1387.0,1387.0,0.0,14326.0,actuated,low,8
37,15.217508055853921,76.72216254923022,5.029537798474764,5586.0,5586.0,5586.0,0.0,14503.0,gap_actuated,high,3
38,11.932849364791288,72.41560798548095,5.269337950487891,2755.0,2755.0,2755.0,0.0,14427.0,actuated,medium,0
39,89.77169274537695,167.2524893314367,2.9546057825272003,7030.0,7030.0,7030.0,0.0,20134.0,static,very_high,9
40,23.059743954480798,88.3045519203414,4.397602727868015,7030.0,7030.0,7030.0,0.0,14533.0,actuated,very_high,4
41,21.98335704125178,86.84864864864865,4.456806212407318,7030.0,7030.0,7030.0,0.0,14524.0,actuated,very_high,1
42,14.752595775152166,77.28589330469029,4.926241720891481,5586.0,5586.0,5586.0,0.0,14541.0,actuated,high,0
43,12.232876712328768,72.58832011535688,5.235688029445481,1387.0,1387.0,1387.0,0.0,14320.0,actuated,low,7
44,11.126678765880218,69.86642468239565,5.387492837141534,2755.0,2755.0,2755.0,0.0,14408.0,gap_actuated,medium,6
45,23.930156472261736,89.3176386913229,4.304592619765676,7030.0,7030.0,7030.0,0.0,14616.0,gap_actuated,very_high,2
46,10.967555875991348,69.91852919971161,5.32465148334808,1387.0,1387.0,1387.0,0.0,14299.0,gap_actuated,low,3
47,23.726173541963014,88.94551920341394,4.319930866419499,7030.0,7030.0,7030.0,0.0,14692.0,gap_actuated,very_high,6
48,14.590404582885785,76.9514858575009,4.951076750511289,5586.0,5586.0,5586.0,0.0,14552.0,actuated,high,3
49,33.230713770728194,94.0252343186734,4.332328667099137,1387.0,1387.0,1387.0,0.0,14372.0,static,low,1
50,34.21415607985481,95.65807622504538,4.246240545986442,2755.0,2755.0,2755.0,0.0,14463.0,static,medium,2
51,10.47152126892574,69.41744772891131,5.383768950207379,1387.0,1387.0,1387.0,0.0,14305.0,gap_actuated,low,0
52,34.17640653357532,95.52595281306715,4.266180195131898,2755.0,2755.0,2755.0,0.0,14465.0,static,medium,9
53,14.634801288936627,77.25259577515217,4.918727770016302,5586.0,5586.0,5586.0,0.0,14523.0,actuated,high,8
54,14.88703902613677,77.59344790547799,4.910828946562504,5586.0,5586.0,5586.0,0.0,14532.0,actuated,high,1
55,10.949546279491834,69.82976406533575,5.383441274894738,2755.0,2755.0,2755.0,0.0,14422.0,gap_actuated,medium,5
56,23.856330014224753,89.1601706970128,4.311170260055221,7030.0,7030.0,7030.0,0.0,14662.0,gap_actuated,very_high,8
57,34.05444646098004,95.45989110707804,4.266240788779388,2755.0,2755.0,2755.0,0.0,14464.0,static,medium,7
58,12.257390050468638,73.13410237923576,5.185210937019291,1387.0,1387.0,1387.0,0.0,14332.0,actuated,low,0
59,10.945916515426497,69.82105263157895,5.392519836168279,2755.0,2755.0,2755.0,0.0,14410.0,gap_actuated,medium,1
60,35.83494450411744,101.16344432509847,3.97487287414913,5586.0,5586.0,5586.0,0.0,14567.0,static,high,9
61,11.935832732516221,71.95457822638788,5.288923689823865,1387.0,1387.0,1387.0,0.0,14331.0,actuated,low,3
62,36.38184747583244,101.7873254564984,3.9549831172759253,5586.0,5586.0,5586.0,0.0,14569.0,static,high,0
63,11.245372050816696,71.34192377495462,5.332837612506342,2755.0,2755.0,2755.0,0.0,14438.0,actuated,medium,1
64,9.92645998558039,68.57173756308579,5.444623812727718,1387.0,1387.0,1387.0,0.0,14298.0,gap_actuated,low,1
65,36.139634801288935,101.43071965628357,3.968372532309861,5586.0,5586.0,5586.0,0.0,14567.0,static,high,6
66,11.027223230490018,69.90998185117968,5.384052399821578,2755.0,2755.0,2755.0,0.0,14411.0,gap_actuated,medium,2
67,34.31361161524501,95.56261343012704,4.260933247244827,2755.0,2755.0,2755.0,0.0,14461.0,static,medium,4
68,45.589758179231865,113.73001422475107,3.562279304955748,7030.0,7030.0,7030.0,0.0,15633.0,static,very_high,5
69,10.441240086517665,69.22134102379236,5.393566038328795,1387.0,1387.0,1387.0,0.0,14299.0,gap_actuated,low,5
70,23.468847795163583,88.54836415362732,4.328535416306849,7030.0,7030.0,7030.0,0.0,14650.0,gap_actuated,very_high,0
71,15.554779806659505,77.25546007876835,5.004783663247026,5586.0,5586.0,5586.0,0.0,14511.0,gap_actuated,high,0
72,12.180966113914923,72.38932948810383,5.255853083899704,1387.0,1387.0,1387.0,0.0,14326.0,actuated,low,5
73,12.487382840663303,72.96178803172315,5.213511283428911,1387.0,1387.0,1387.0,0.0,14329.0,actuated,low,6
74,22.35348506401138,87.57354196301564,4.4295518300384,7030.0,7030.0,7030.0,0.0,14522.0,actuated,very_high,17
75,15.405656999641963,76.83655567490153,5.025208601204258,5586.0,5586.0,5586.0,0.0,14508.0,gap_actuated,high,7
76,10.687815428983418,69.55948089401586,5.37167007444636,1387.0,1387.0,1387.0,0.0,14314.0,gap_actuated,low,9
77,33.57390050468637,94.30785868781543,4.313790629927626,1387.0,1387.0,1387.0,0.0,14371.0,static,low,9
78,25.467567567567567,90.97354196301565,4.3500809135558285,7030.0,7030.0,7030.0,0.0,14540.0,actuated,very_high,5
79,12.210889292196008,72.62141560798548,5.223413562430935,2755.0,2755.0,2755.0,0.0,14428.0,actuated,medium,7
80,46.44338549075391,114.90142247510668,3.5268715162086073,7030.0,7030.0,7030.0,0.0,15634.0,static,very_high,7
81,15.418009308986752,77.0905836018618,5.004013386761695,5586.0,5586.0,5586.0,0.0,14516.0,gap_actuated,high,1
82,86.42546230440968,163.39829302987198,2.979015383883846,7030.0,7030.0,7030.0,0.0,19862.0,static,very_high,1
83,23.51578947368421,88.65633001422475,4.330681054161379,7030.0,7030.0,7030.0,0.0,14689.0,gap_actuated,very_high,7
84,35.91890440386681,101.22753311851056,3.968541839692219,5586.0,5586.0,5586.0,0.0,14567.0,static,high,7
85,23.492745376955902,88.58762446657184,4.349795239612743,7030.0,7030.0,7030.0,0.0,14641.0,gap_actuated,very_high,3
86,21.54935988620199,86.47638691322902,4.484747666638496,7030.0,7030.0,7030.0,0.0,14533.0,actuated,very_high,18
87,14.656462585034014,77.22574292875045,4.937377775879455,5586.0,5586.0,5586.0,0.0,14531.0,actuated,high,7
88,15.380594343000357,76.8891872538489,5.032451990553336,5586.0,5586.0,5586.0,0.0,14521.0,gap_actuated,high,4
89,23.329160739687055,88.43854907539118,4.347540153362598,7030.0,7030.0,7030.0,0.0,14660.0,gap_actuated,very_high,5
90,36.244897959183675,101.57536698890083,3.958133326865271,5586.0,5586.0,5586.0,0.0,14566.0,static,high,8
91,15.855531686358754,77.48299319727892,4.9834992122303525,5586.0,5586.0,5586.0,0.0,14519.0,gap_actuated,high,5
92,11.236660617059892,69.93176043557169,5.378150406185782,2755.0,2755.0,2755.0,0.0,14409.0,gap_actuated,medium,4
93,11.0310021629416,70.19754866618601,5.306864971912317,1387.0,1387.0,1387.0,0.0,14321.0,gap_actuated,low,2
94,35.8687790905836,101.21446473326172,3.9725858705084383,5586.0,5586.0,5586.0,0.0,14565.0,static,high,3
95,10.747656813266042,69.91059841384282,5.339626358122071,1387.0,1387.0,1387.0,0.0,14302.0,gap_actuated,low,6
96,33.60057678442682,94.67844268204759,4.297034412327735,1387.0,1387.0,1387.0,0.0,14371.0,static,low,2
97,46.60113798008535,115.13086770981508,3.528862074276689,7030.0,7030.0,7030.0,0.0,15721.0,static,very_high,0
98,12.156442831215971,72.708166969147,5.208727362209352,2755.0,2755.0,2755.0,0.0,14432.0,actuated,medium,3
99,11.811978221415607,72.09255898366607,5.268019487269774,2755.0,2755.0,2755.0,0.0,14435.0,actuated,medium,9
100,10.808348457350272,69.71578947368421,5.397161891346914,2755.0,2755.0,2755.0,0.0,14415.0,gap_actuated,medium,0
101,47.160028449502136,115.72645803698435,3.508846616678919,7030.0,7030.0,7030.0,0.0,15723.0,static,very_high,6
102,34.300907441016335,95.79201451905627,4.250557850341467,2755.0,2755.0,2755.0,0.0,14465.0,static,medium,0
103,15.667740780522735,77.37790905836019,4.987399335177038,5586.0,5586.0,5586.0,0.0,14512.0,gap_actuated,high,2
104,23.487766714082504,88.53172119487908,4.398330044478098,7030.0,7030.0,7030.0,0.0,14530.0,actuated,very_high,19
105,33.66258111031002,94.5688536409517,4.304454901839101,1387.0,1387.0,1387.0,0.0,14371.0,static,low,6
106,36.07733619763695,101.32635159326888,3.966244588819646,5586.0,5586.0,5586.0,0.0,14567.0,static,high,5
107,9.879596250901226,68.633741888969,5.429772402961127,1387.0,1387.0,1387.0,0.0,14306.0,gap_actuated,low,8
108,36.14196204797709,101.48048693161475,3.963723447170528,5586.0,5586.0,5586.0,0.0,14574.0,static,high,1
109,14.525241675617615,76.96186895810956,4.948817550467458,5586.0,5586.0,5586.0,0.0,14534.0,actuated,high,5
110,45.89829302987198,114.28335704125178,3.542366151686766,7030.0,7030.0,7030.0,0.0,15632.0,static,very_high,2
111,34.19963702359347,95.60798548094374,4.257437776525107,2755.0,2755.0,2755.0,0.0,14464.0,static,medium,1
112,36.091657715717865,101.33888292158969,3.969752627612084,5586.0,5586.0,5586.0,0.0,14565.0,static,high,4
113,90.24196301564723,167.75960170697013,2.965629709926866,7030.0,7030.0,7030.0,0.0,20223.0,static,very_high,3
114,12.255948089401587,72.49387166546504,5.236324480820349,1387.0,1387.0,1387.0,0.0,14342.0,actuated,low,4
115,23.313371266002846,88.5180654338549,4.339467020802146,7030.0,7030.0,7030.0,0.0,14623.0,gap_actuated,very_high,1
116,33.56452775775054,94.38716654650324,4.30898594147646,1387.0,1387.0,1387.0,0.0,14374.0,static,low,5
117,14.30236305048335,76.796992481203,4.955626975161865,5586.0,5586.0,5586.0,0.0,14537.0,actuated,high,2
118,36.03938417472252,101.40243465807376,3.957545055065789,5586.0,5586.0,5586.0,0.0,14567.0,static,high,2
119,10.64464609800363,69.37931034482759,5.421912301371659,2755.0,2755.0,2755.0,0.0,14416.0,gap_actuated,medium,8
